wafer_id,defect_class,diameter,lot_name,failure_ratio
wafer_000000,random,12,lot_048,0.1815373000123451
wafer_000001,none,12,lot_070,0.0
wafer_000002,center,6,lot_046,0.17124189246760949
wafer_000003,edge-ring,8,lot_093,0.05830132739140975
wafer_000004,center,8,lot_061,0.16538827811526147
wafer_000005,local,8,lot_082,0.021747072801086946
wafer_000006,scratch,8,lot_093,0.24652798148020882
wafer_000007,none,12,lot_050,0.0
wafer_000008,local,8,lot_023,0.28925579951970337
wafer_000009,edge-ring,6,lot_051,0.13712026210674297
wafer_000010,edge-loc,8,lot_026,0.21198127206007075
wafer_000011,edge-loc,12,lot_009,0.24084234733750795
wafer_000012,donut,6,lot_020,0.04575182792680912
wafer_000013,edge-ring,6,lot_099,0.21828143728986454
wafer_000014,edge-ring,8,lot_019,0.17208855109726306
wafer_000015,local,8,lot_061,0.14811241794981958
wafer_000016,random,6,lot_048,0.026892088596943066
wafer_000017,edge-loc,12,lot_015,0.10724648656218283
wafer_000018,none,6,lot_035,0.0
wafer_000019,edge-loc,8,lot_067,0.2746419872080259
wafer_000020,donut,8,lot_086,0.17560038747306134
wafer_000021,random,8,lot_092,0.14318791676879286
wafer_000022,center,8,lot_013,0.029034323239611005
wafer_000023,edge-ring,8,lot_073,0.19572728029202827
wafer_000024,scratch,8,lot_074,0.2817498615210753
wafer_000025,center,12,lot_002,0.24109610525268757
wafer_000026,local,8,lot_097,0.22042630764396265
wafer_000027,edge-ring,6,lot_090,0.17964897099542326
wafer_000028,edge-ring,8,lot_021,0.2032002020731436
wafer_000029,near-full,8,lot_070,0.13871320298946016
wafer_000030,center,6,lot_031,0.1724436917157096
wafer_000031,random,6,lot_005,0.2620961771403792
wafer_000032,none,6,lot_054,0.0
wafer_000033,scratch,6,lot_030,0.05148798168787687
wafer_000034,edge-ring,8,lot_057,0.015674601355322067
wafer_000035,near-full,8,lot_070,0.17084665348601055
wafer_000036,random,8,lot_039,0.2941825496359957
wafer_000037,scratch,12,lot_016,0.26296121050477617
wafer_000038,center,12,lot_090,0.07860288242299197
wafer_000039,edge-loc,12,lot_058,0.10654271264329034
wafer_000040,none,8,lot_015,0.0
wafer_000041,edge-ring,8,lot_032,0.29054181086557207
wafer_000042,center,6,lot_002,0.039147325817419296
wafer_000043,none,6,lot_037,0.0
wafer_000044,edge-ring,8,lot_036,0.07755628206950411
wafer_000045,scratch,12,lot_082,0.125051739304363
wafer_000046,near-full,8,lot_037,0.145674036086676
wafer_000047,none,6,lot_014,0.0
wafer_000048,local,6,lot_011,0.2535802989038732
wafer_000049,none,12,lot_055,0.0
wafer_000050,edge-ring,8,lot_005,0.08713124836847548
wafer_000051,edge-loc,12,lot_061,0.08820129361301078
wafer_000052,local,8,lot_073,0.1254346356880405
wafer_000053,local,8,lot_008,0.15742190624320582
wafer_000054,edge-loc,8,lot_048,0.06577844126576045
wafer_000055,local,12,lot_067,0.15816502728119222
wafer_000056,local,12,lot_077,0.1016036175567879
wafer_000057,local,8,lot_088,0.1685272760644443
wafer_000058,edge-loc,6,lot_054,0.16533111237082582
wafer_000059,center,12,lot_017,0.019621308957548454
wafer_000060,edge-loc,8,lot_011,0.05228041409291944
wafer_000061,edge-ring,8,lot_033,0.16449786836992747
wafer_000062,center,6,lot_037,0.0766076192720457
wafer_000063,none,6,lot_013,0.0
wafer_000064,none,6,lot_021,0.0
wafer_000065,edge-ring,6,lot_089,0.11368877361277842
